Indicator,PUBLISH STATES,Year,Age Group,Sex,Region,Causes,Display Value,Numeric,Low,High,Comments
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Diabetes mellitus,13,13.15,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Peptic ulcer disease,1,0.93,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Eating disorders,0,0.17,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Mouth and oropharynx cancers,6,6.39,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Dengue,0,0.26,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Drug use disorders,1,0.99,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other chromosomal anomalies,0,0.02,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,"Endocrine, blood, immune disorders",9,8.67,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Other neoplasms,7,6.73,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Tetanus,3,3.02,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Cirrhosis of the liver,2,1.88,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other circulatory diseases,8,8.27,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Iron-deficiency anaemia,5,5.01,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Other chromosomal anomalies,0,0.03,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Exposure to forces of nature,0,0.02,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,HIV/AIDS,137,136.53,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Poisonings,6,5.76,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Stomach cancer,3,2.69,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,All Causes,1421,1420.71,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Respiratory infections,33,33.15,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other neonatal conditions,5,5.07,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Diabetes mellitus,20,20.01,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Breast cancer,53,53.01,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other nutritional deficiencies,0,0.05,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Neural tube defects,0,0.05,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Cervix uteri cancer,16,15.74,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Other infectious diseases,10,10.10,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Tetanus,0,0.08,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Road injury,25,25.01,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other musculoskeletal disorders,1,1.05,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Collective violence and legal intervention,1,0.59,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Cervix uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Childhood behavioural disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Cleft lip and cleft palate,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Childhood-cluster diseases,8,8.30,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Meningitis,23,22.84,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Pancreas cancer,5,4.87,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,"Fire, heat and hot substances",13,13.33,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Interpersonal violence,5,5.10,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Respiratory infections,176,175.61,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other digestive diseases,11,10.72,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Genitourinary diseases,4,4.32,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Falls,6,6.25,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Epilepsy,10,10.21,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Down's syndrome,0,0.31,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Poisonings,3,2.61,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Rabies,1,1.11,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Kidney diseases,4,4.21,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Chronic obstructive pulmonary disease,0,0.50,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Asthma,25,25.09,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Diphtheria,0,0.04,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other hearing loss,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other genitourinary diseases,4,3.59,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,STDs excluding HIV,3,3.32,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Infectious and parasitic diseases,661,660.66,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Neurological conditions,23,22.52,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Acute hepatitis C,0,0.03,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Bipolar disorder,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Acute hepatitis B,2,2.01,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Otitis media,0,0.15,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Mental and behavioral disorders,1,1.44,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Childhood behavioural disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Encephalitis,2,2.05,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Drowning,11,10.88,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Leishmaniasis,2,1.52,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other respiratory diseases,3,3.29,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Idiopathic intellectual disability,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Schistosomiasis,9,9.23,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Other mental and behavioural disorders,0,0.08,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Ischaemic heart disease,42,42.25,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Protein-energy malnutrition,53,52.98,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Upper respiratory infections,0,0.20,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Peptic ulcer disease,7,7.13,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Urolithiasis,0,0.28,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Poisonings,2,2.38,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Trichuriasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Rheumatic heart disease,13,12.97,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,"Lymphomas, multiple myeloma",4,3.59,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other respiratory diseases,27,26.60,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Oesophagus cancer,3,2.95,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Whooping cough,10,10.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Congenital anomalies,20,20.13,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Pancreas cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Stroke,196,195.95,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Lower respiratory infections,162,161.68,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,All Causes,443,442.83,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Cirrhosis of the liver,113,113.34,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Nutritional deficiencies,82,82.34,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Hypertensive heart disease,5,5.13,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Gynecological diseases,0,0.11,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Prostate cancer,7,6.63,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Schizophrenia,0,0.33,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Ascariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Rheumatic heart disease,8,7.53,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Trypanosomiasis,10,10.15,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Digestive diseases,33,32.56,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Rabies,4,3.81,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Diphtheria,0,0.02,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Ischaemic heart disease,2,1.76,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Malaria,7,6.99,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Syphilis,7,6.68,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,"Fire, heat and hot substances",14,14.21,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Preterm birth complications,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Ovary cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Respiratory diseases,117,117.06,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Hypertensive heart disease,1,0.56,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Noncommunicable diseases,1451,1451.45,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Other unintentional injuries,19,18.71,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Infectious and parasitic diseases,183,183.19,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Bladder cancer,1,0.70,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Trypanosomiasis,1,1.09,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Gonorrhoea,0,0.15,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Encephalitis,2,1.57,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Neonatal sepsis and infections,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Kidney diseases,11,11.40,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Respiratory diseases,4,4.15,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Congenital heart anomalies,1,0.62,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Nutritional deficiencies,46,46.19,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Ascariasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Communicable & other Group I,678,677.76,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Respiratory infections,165,165.44,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Other neurological conditions,2,1.95,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Urolithiasis,0,0.04,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Road injury,13,12.59,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Oesophagus cancer,3,2.51,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Colon and rectum cancers,15,15.31,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Asthma,18,18.11,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Diabetes mellitus,21,21.38,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Gout,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Iodine deficiency,0,0.16,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other vision loss,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Drowning,8,8.10,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Preterm birth complications,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Parasitic and vector diseases,127,126.64,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Hypertensive heart disease,1,0.51,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Self-harm,9,8.88,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Cervix uteri cancer,6,6.21,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Rheumatic heart disease,5,4.84,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Gonorrhoea,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Ischaemic heart disease,1,1.42,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Malignant neoplasms,300,299.76,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Corpus uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Other neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other genitourinary diseases,3,2.83,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Liver cancer,13,13.17,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Mental and behavioral disorders,3,2.76,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Encephalitis,2,1.99,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Mouth and oropharynx cancers,12,11.86,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Other respiratory diseases,7,6.76,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Urolithiasis,0,0.13,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Digestive diseases,10,10.33,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other chromosomal anomalies,0,0.02,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other malignant neoplasms,42,42.43,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Acute hepatitis C,0,0.03,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Skin diseases,2,2.17,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Falls,12,12.32,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Malaria,5,4.62,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Protein-energy malnutrition,53,52.62,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Lower respiratory infections,247,247.26,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Onchocerciasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Parkinson's disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Other musculoskeletal disorders,4,4.10,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Nutritional deficiencies,33,33.02,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Cirrhosis of the liver,105,105.20,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Otitis media,0,0.15,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Prostate cancer,3,3.31,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Gynecological diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Lower respiratory infections,38,38.20,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Dengue,0,0.32,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other congenital anomalies,9,9.46,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Diarrhoeal diseases,75,74.75,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Drug use disorders,0,0.28,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,HIV/AIDS,515,515.48,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Rabies,3,3.27,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Genitourinary diseases,50,49.92,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Parasitic and vector diseases,29,29.46,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Alzheimer's disease and other dementias,1,1.38,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Alcohol use disorders,1,0.99,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Parkinson's disease,1,1.06,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other malignant neoplasms,1,1.10,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other STDs,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Intentional injuries,13,12.56,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",6,6.46,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Ovary cancer,2,2.03,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Whooping cough,0,0.11,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Periodontal disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Gonorrhoea,0,0.05,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Mouth and oropharynx cancers,0,0.12,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Eating disorders,0,0.22,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Gynecological diseases,0,0.20,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Cardiovascular diseases,494,493.57,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Malaria,8,8.44,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Stroke,23,23.01,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Maternal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Leishmaniasis,1,1.35,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Breast cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,STDs excluding HIV,11,10.94,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,"Fire, heat and hot substances",11,11.44,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Leishmaniasis,1,1.35,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Multiple sclerosis,0,0.28,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Digestive diseases,57,56.79,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Maternal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other chromosomal anomalies,0,0.14,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Hypertensive heart disease,14,13.88,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Intestinal nematode infections,0,0.01,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Epilepsy,8,7.75,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Syphilis,2,1.54,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Self-harm,2,1.55,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Bipolar disorder,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Measles,52,52.45,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Whooping cough,0,0.11,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Ischaemic heart disease,40,40.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Interpersonal violence,5,4.93,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Bladder cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Chlamydia,0,0.03,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Kidney diseases,43,42.75,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,"Lymphomas, multiple myeloma",3,3.31,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other mental and behavioural disorders,0,0.15,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Tetanus,0,0.11,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Mental and behavioral disorders,1,0.56,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other musculoskeletal disorders,2,1.87,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Syphilis,0,0.04,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Schistosomiasis,14,14.01,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Infertility,0,0.00,,,
